customer_id,customer_name,age,city,gender
1,Customer_1,36,Bangalore,Male
2,Customer_2,25,Mumbai,Female
3,Customer_3,69,Chennai,Male
4,Customer_4,25,Bangalore,Female
5,Customer_5,59,Bangalore,Male
6,Customer_6,43,Mumbai,Female
7,Customer_7,65,Chennai,Female
8,Customer_8,68,Chennai,Male
9,Customer_9,43,Chennai,Male
10,Customer_10,40,Mumbai,Female
11,Customer_11,60,Hyderabad,Male
12,Customer_12,30,Hyderabad,Female
13,Customer_13,45,Bangalore,Male
14,Customer_14,26,Bangalore,Female
15,Customer_15,37,Bangalore,Male
16,Customer_16,36,Hyderabad,Female
17,Customer_17,65,Mumbai,Male
18,Customer_18,56,Bangalore,Female
19,Customer_19,68,Mumbai,Male
20,Customer_20,29,Bangalore,Female
21,Customer_21,32,Mumbai,Male
22,Customer_22,48,Mumbai,Male
23,Customer_23,31,Hyderabad,Female
24,Customer_24,28,Mumbai,Male
25,Customer_25,43,Chennai,Male
26,Customer_26,59,Hyderabad,Female
27,Customer_27,44,Bangalore,Female
28,Customer_28,28,Hyderabad,Female
29,Customer_29,55,Chennai,Female
30,Customer_30,51,Chennai,Male
31,Customer_31,60,Mumbai,Male
32,Customer_32,36,Chennai,Male
33,Customer_33,23,Chennai,Female
34,Customer_34,63,Chennai,Male
35,Customer_35,69,Chennai,Male
36,Customer_36,55,Bangalore,Female
37,Customer_37,66,Bangalore,Male
38,Customer_38,59,Hyderabad,Male
39,Customer_39,45,Mumbai,Female
40,Customer_40,18,Bangalore,Male
41,Customer_41,52,Chennai,Female
42,Customer_42,57,Mumbai,Female
43,Customer_43,25,Bangalore,Male
44,Customer_44,69,Hyderabad,Male
45,Customer_45,64,Chennai,Male
46,Customer_46,24,Mumbai,Female
47,Customer_47,28,Bangalore,Female
48,Customer_48,56,Mumbai,Male
49,Customer_49,21,Bangalore,Male
50,Customer_50,42,Hyderabad,Female
51,Customer_51,29,Chennai,Male
52,Customer_52,43,Hyderabad,Male
53,Customer_53,55,Chennai,Female
54,Customer_54,63,Chennai,Male
55,Customer_55,29,Mumbai,Male
56,Customer_56,60,Bangalore,Male
57,Customer_57,68,Hyderabad,Male
58,Customer_58,54,Hyderabad,Female
59,Customer_59,63,Hyderabad,Female
60,Customer_60,41,Mumbai,Female
61,Customer_61,33,Mumbai,Female
62,Customer_62,30,Mumbai,Male
63,Customer_63,42,Chennai,Male
64,Customer_64,69,Hyderabad,Male
65,Customer_65,21,Chennai,Male
66,Customer_66,28,Hyderabad,Female
67,Customer_67,49,Hyderabad,Male
68,Customer_68,66,Bangalore,Male
69,Customer_69,24,Hyderabad,Female
70,Customer_70,63,Mumbai,Female
71,Customer_71,28,Mumbai,Female
72,Customer_72,45,Mumbai,Male
73,Customer_73,58,Bangalore,Female
74,Customer_74,40,Bangalore,Male
75,Customer_75,62,Chennai,Male
76,Customer_76,40,Hyderabad,Female
77,Customer_77,67,Hyderabad,Female
78,Customer_78,45,Mumbai,Female
79,Customer_79,60,Mumbai,Male
80,Customer_80,64,Mumbai,Male
81,Customer_81,43,Mumbai,Male
82,Customer_82,42,Mumbai,Female
83,Customer_83,46,Mumbai,Male
84,Customer_84,36,Hyderabad,Male
85,Customer_85,50,Bangalore,Male
86,Customer_86,53,Mumbai,Male
87,Customer_87,31,Hyderabad,Female
88,Customer_88,31,Mumbai,Male
89,Customer_89,52,Chennai,Female
90,Customer_90,47,Chennai,Female
91,Customer_91,45,Hyderabad,Male
92,Customer_92,34,Bangalore,Male
93,Customer_93,20,Chennai,Female
94,Customer_94,33,Chennai,Male
95,Customer_95,63,Bangalore,Female
96,Customer_96,47,Chennai,Male
97,Customer_97,69,Mumbai,Male
98,Customer_98,46,Bangalore,Female
99,Customer_99,62,Chennai,Male
100,Customer_100,32,Bangalore,Female
101,Customer_101,63,Mumbai,Female
102,Customer_102,42,Chennai,Male
103,Customer_103,68,Hyderabad,Female
104,Customer_104,55,Chennai,Male
105,Customer_105,59,Chennai,Male
106,Customer_106,64,Mumbai,Male
107,Customer_107,69,Hyderabad,Female
108,Customer_108,55,Hyderabad,Male
109,Customer_109,40,Hyderabad,Male
110,Customer_110,42,Mumbai,Female
111,Customer_111,59,Mumbai,Female
112,Customer_112,24,Mumbai,Female
113,Customer_113,39,Mumbai,Female
114,Customer_114,34,Mumbai,Male
115,Customer_115,35,Hyderabad,Male
116,Customer_116,66,Bangalore,Male
117,Customer_117,58,Mumbai,Male
118,Customer_118,27,Bangalore,Female
119,Customer_119,27,Chennai,Female
120,Customer_120,24,Chennai,Male
121,Customer_121,65,Mumbai,Female
122,Customer_122,67,Chennai,Female
123,Customer_123,55,Bangalore,Female
124,Customer_124,44,Chennai,Female
125,Customer_125,69,Chennai,Female
126,Customer_126,50,Bangalore,Male
127,Customer_127,18,Chennai,Male
128,Customer_128,61,Mumbai,Female
129,Customer_129,51,Bangalore,Female
130,Customer_130,21,Bangalore,Male
131,Customer_131,34,Hyderabad,Male
132,Customer_132,21,Hyderabad,Female
133,Customer_133,60,Bangalore,Female
134,Customer_134,43,Bangalore,Female
135,Customer_135,21,Hyderabad,Male
136,Customer_136,18,Mumbai,Female
137,Customer_137,24,Chennai,Female
138,Customer_138,47,Chennai,Female
139,Customer_139,67,Chennai,Female
140,Customer_140,26,Bangalore,Female
141,Customer_141,52,Mumbai,Female
142,Customer_142,25,Hyderabad,Female
143,Customer_143,41,Mumbai,Female
144,Customer_144,36,Mumbai,Male
145,Customer_145,53,Chennai,Male
146,Customer_146,67,Hyderabad,Male
147,Customer_147,69,Mumbai,Female
148,Customer_148,60,Hyderabad,Male
149,Customer_149,44,Bangalore,Male
150,Customer_150,49,Chennai,Male
151,Customer_151,31,Hyderabad,Male
152,Customer_152,35,Bangalore,Male
153,Customer_153,45,Bangalore,Female
154,Customer_154,46,Bangalore,Male
155,Customer_155,33,Mumbai,Female
156,Customer_156,52,Mumbai,Female
157,Customer_157,64,Chennai,Male
158,Customer_158,48,Chennai,Female
159,Customer_159,21,Bangalore,Male
160,Customer_160,54,Chennai,Female
161,Customer_161,34,Mumbai,Female
162,Customer_162,56,Chennai,Male
163,Customer_163,65,Hyderabad,Female
164,Customer_164,63,Mumbai,Female
165,Customer_165,43,Bangalore,Female
166,Customer_166,65,Bangalore,Female
167,Customer_167,56,Chennai,Female
168,Customer_168,58,Mumbai,Female
169,Customer_169,21,Bangalore,Female
170,Customer_170,47,Bangalore,Female
171,Customer_171,47,Mumbai,Male
172,Customer_172,39,Mumbai,Female
173,Customer_173,28,Bangalore,Male
174,Customer_174,19,Chennai,Male
175,Customer_175,61,Chennai,Female
176,Customer_176,29,Chennai,Female
